"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone"
94,"94","BALL-PERDIDO",,"33.81783","-117.96276",,,,,
95,"95","BALL-GILBERT",,"33.81778","-117.96804",,,,,
96,"96","BALL-WEBSTER",,"33.81775","-117.97072",,,,,
97,"97","BALL-MAGNOLIA",,"33.81770","-117.97551",,,,,
98,"98","BALL-SHERRILL",,"33.81766","-117.98000",,,,,
99,"99","BALL-DALE",,"33.81761","-117.98510",,,,,
101,"101","BALL-BEACH",,"33.81751","-117.99429",,,,,
102,"102","BALL-HALLIDAY",,"33.81750","-117.99650",,,,,
103,"103","BALL-WESTERN",,"33.81744","-118.00171",,,,,
104,"104","BALL-WESTVALE",,"33.81740","-118.00736",,,,,
105,"105","BALL-KNOTT",,"33.81735","-118.01176",,,,,
106,"106","BEACH-BALL",,"33.81813","-117.99310",,,,,
107,"107","BEACH-ROME",,"33.82059","-117.99315",,,,,
108,"108","BEACH-ORANGE",,"33.82545","-117.99317",,,,,
109,"109","BEACH-YOUTH CENTER",,"33.82900","-117.99323",,,,,
110,"110","BEACH-LINCOLN",,"33.83231","-117.99329",,,,,
111,"111","BEACH-LINCOLN",,"33.83154","-117.99372",,,,,
112,"112","BEACH-YOUTH CENTER",,"33.82905","-117.99350",,,,,
114,"114","BEACH-ORANGE",,"33.82434","-117.99354",,,,,
115,"115","BEACH-STONYBROOK",,"33.82164","-117.99339",,,,,
116,"116","BEACH-BALL",,"33.81698","-117.99350",,,,,
120,"120","BROOKHURST-KATELLA",,"33.80363","-117.95875",,,,,
121,"121","BROOKHURST-CRESTWOOD",,"33.80667","-117.95875",,,,,
122,"122","BROOKHURST-CERRITOS",,"33.81124","-117.95877",,,,,
123,"123","BROOKHURST-PALAIS",,"33.81427","-117.95879",,,,,
124,"124","BROOKHURST-BALL",,"33.81879","-117.95879",,,,,
125,"125","BROOKHURST-BROOKMORE",,"33.82053","-117.95878",,,,,
126,"126","BROOKHURST-NIOBE",,"33.82295","-117.95880",,,,,
127,"127","BROOKHURST-ORANGE",,"33.82556","-117.95878",,,,,
128,"128","BROOKHURST-BROADWAY",,"33.82842","-117.95881",,,,,
129,"129","BROOKHURST-LINCOLN",,"33.83316","-117.95883",,,,,
130,"130","BROOKHURST-CATALINA",,"33.83653","-117.95888",,,,,
131,"131","BROOKHURST-CRESCENT",,"33.83905","-117.95889",,,,,
132,"132","BROOKHURST-LA PALMA",,"33.84795","-117.95903",,,,,
136,"136","BROOKHURST-LA PALMA",,"33.84809","-117.95937",,,,,
137,"137","BROOKHURST-CRESCENT",,"33.83921","-117.95926",,,,,
138,"138","BROOKHURST-WOODLEY",,"33.83561","-117.95921",,,,,
139,"139","BROOKHURST-LINCOLN",,"33.83155","-117.95917",,,,,
140,"140","BROOKHURST-ORANGE",,"33.82463","-117.95914",,,,,
141,"141","BROOKHURST-STONEYBROOK",,"33.82226","-117.95915",,,,,
142,"142","BROOKHURST-COLCHESTER",,"33.82052","-117.95913",,,,,
143,"143","BROOKHURST-BALL",,"33.81734","-117.95914",,,,,
144,"144","BROOKHURST-CERRITOS",,"33.81019","-117.95905",,,,,
146,"146","BROOKHURST-CRESTWOOD",,"33.80599","-117.95909",,,,,
153,"153","CHAPMAN-SOMERSET",,"33.78895","-117.91080",,,,,
155,"155","CORONADO-JEFFERSON",,"33.85909","-117.83665",,,,,
156,"156","CORONADO-VAN BUREN",,"33.85915","-117.83149",,,,,
158,"158","DALE-LINCOLN",,"33.83270","-117.98467",,,,,
159,"159","DALE-CRESCENT",,"33.83937","-117.98530",,,,,
160,"160","DALE-TYLER",,"33.83396","-117.98489",,,,,
177,"177","EUCLID-ORD",,"33.79291","-117.94115",,,,,
178,"178","EUCLID-ORANGEWOOD",,"33.79617","-117.94119",,,,,
179,"179","EUCLID-KATELLA",,"33.80344","-117.94132",,,,,
180,"180","EUCLID-SALLIE",,"33.80515","-117.94131",,,,,
181,"181","EUCLID-CRIS",,"33.80799","-117.94132",,,,,
