"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
129,"SU",4269208,,,"12942","1603"
129,"SU",4269209,,,"12942","1602"
129,"SU",4269210,,,"12942","1603"
129,"SU",4269211,,,"12942","1602"
129,"SU",4269212,,,"12942","1603"
129,"SU",4269213,,,"12942","1602"
129,"SU",4269214,,,"12942","1603"
129,"SU",4269215,,,"12942","1602"
129,"SU",4269216,,,"12942","1603"
129,"SU",4269217,,,"12942","1602"
129,"SU",4269218,,,"12942","1603"
129,"SU",4269219,,,"14342","1602"
129,"SU",4269225,,,"3741","1613"
129,"SU",4269226,,,"12941","1602"
129,"SU",4269227,,,"12941","1603"
129,"SU",4269228,,,"12941","1602"
129,"SU",4269229,,,"12941","1603"
129,"SU",4269230,,,"12941","1602"
129,"SU",4269231,,,"12941","1603"
129,"SU",4269232,,,"12941","1602"
129,"SU",4269233,,,"12941","1603"
129,"SU",4269234,,,"12941","1602"
129,"SU",4269235,,,"12941","1603"
129,"SU",4269236,,,"2950","1602"
129,"SU",4269237,,,"2950","1603"
129,"SU",4269238,,,"2950","1602"
129,"SU",4269239,,,"3041","1613"
129,"SU",4269240,,,"3041","1612"
129,"SU",4269242,,,"5742","1612"
129,"WD",4243421,,,"12961","1602"
129,"WD",4243422,,,"12962","1602"
129,"WD",4243423,,,"12961","1602"
129,"WD",4243424,,,"12962","1602"
129,"WD",4243425,,,"12961","1602"
129,"WD",4243426,,,"12962","1602"
129,"WD",4243427,,,"12961","1602"
129,"WD",4243428,,,"12963","1602"
129,"WD",4243429,,,"12962","1602"
129,"WD",4243430,,,"12961","1602"
129,"WD",4243431,,,"12963","1602"
129,"WD",4243432,,,"12962","1602"
129,"WD",4243433,,,"12961","1602"
129,"WD",4243434,,,"12963","1602"
129,"WD",4243435,,,"12962","1602"
129,"WD",4243436,,,"12961","1602"
129,"WD",4243443,,,"12962","1603"
129,"WD",4243444,,,"12961","1603"
129,"WD",4243445,,,"12962","1603"
129,"WD",4243446,,,"12961","1603"
129,"WD",4243447,,,"12962","1603"
129,"WD",4243448,,,"12961","1603"
129,"WD",4243449,,,"12963","1603"
129,"WD",4243450,,,"12962","1603"
129,"WD",4243451,,,"12961","1603"
129,"WD",4243452,,,"12963","1603"
129,"WD",4243453,,,"12962","1603"
129,"WD",4243454,,,"12961","1603"
129,"WD",4243455,,,"12963","1603"
129,"WD",4243456,,,"12962","1603"
129,"WD",4243457,,,"12961","1603"
129,"WD",4243458,,,"12962","1603"
129,"WD",4243459,,,"12961","1603"
129,"WD",4275704,,,"3564","1602"
143,"SA",4249494,,,"2943","3203"
143,"SA",4249495,,,"14341","3202"
143,"SA",4249496,,,"14342","3203"
143,"SA",4249497,,,"14341","3202"
143,"SA",4249498,,,"14342","3203"
